# BUSCO version is: 5.7.1 
# The lineage dataset is: embryophyta_odb10 (Creation date: 2020-09-10, number of genomes: 50, number of BUSCOs: 1614)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
3704at3193	Complete	ptg000029l	29837727	29799997	-	2064.3	1063	https://www.orthodb.org/v10?query=3704at3193	Four-carbon acid sugar kinase, N-terminal domain
3755at3193	Complete	ptg000012l	10056647	10109438	+	1613.4	919	https://www.orthodb.org/v10?query=3755at3193	DNA-directed RNA polymerase I subunit 2
3935at3193	Duplicated	ptg000029l	34702332	34719102	+	2024.1	1012	https://www.orthodb.org/v10?query=3935at3193	P-type ATPase
3935at3193	Duplicated	ptg000001l	181687	142635	-	2013.6	1012	https://www.orthodb.org/v10?query=3935at3193	P-type ATPase
3941at3193	Complete	ptg000037l	2840851	2815556	-	1557.8	988	https://www.orthodb.org/v10?query=3941at3193	trafficking protein particle complex subunit 8
3942at3193	Complete	ptg000019l	23926704	23914543	-	1898.3	1133	https://www.orthodb.org/v10?query=3942at3193	splicing factor 3B subunit 3
3971at3193	Complete	ptg000029l	25905055	25959144	+	1566.8	912	https://www.orthodb.org/v10?query=3971at3193	transcription initiation factor TFIID subunit 2
4051at3193	Complete	ptg000004l	1234679	1246628	+	1572.1	852	https://www.orthodb.org/v10?query=4051at3193	beta-galactosidase
4115at3193	Duplicated	ptg000016l	11503220	11477379	-	1748.3	944	https://www.orthodb.org/v10?query=4115at3193	Quinoprotein amine dehydrogenase, beta chain-like RIC1-like guanyl-nucleotide exchange factor
4115at3193	Duplicated	ptg000005l	5417433	5443966	+	1667.9	905	https://www.orthodb.org/v10?query=4115at3193	Quinoprotein amine dehydrogenase, beta chain-like RIC1-like guanyl-nucleotide exchange factor
4251at3193	Complete	ptg000009l	747965	743691	-	1784.4	1063	https://www.orthodb.org/v10?query=4251at3193	ARF guanine-nucleotide exchange factor GNL2
4343at3193	Complete	ptg000021l	2739871	2727200	-	1675.5	997	https://www.orthodb.org/v10?query=4343at3193	tubulin-folding cofactor D
4349at3193	Complete	ptg000017l	21742	43848	+	1866.0	939	https://www.orthodb.org/v10?query=4349at3193	stromal processing peptidase, chloroplastic
4482at3193	Complete	ptg000016l	7232575	7205151	-	1858.0	1146	https://www.orthodb.org/v10?query=4482at3193	WD40-repeat-containing domain
4483at3193	Complete	ptg000004l	11180722	11186316	+	1945.1	953	https://www.orthodb.org/v10?query=4483at3193	carbamoyl-phosphate synthase large chain, chloroplastic
4547at3193	Complete	ptg000006l	7870820	7845248	-	2111.1	1630	https://www.orthodb.org/v10?query=4547at3193	Tetratricopeptide-like helical domain containing protein
4582at3193	Complete	ptg000029l	32371253	32348285	-	1586.1	843	https://www.orthodb.org/v10?query=4582at3193	SH3 domain
4678at3193	Complete	ptg000001l	5137874	5185721	+	1665.4	939	https://www.orthodb.org/v10?query=4678at3193	WD40-repeat-containing domain
4777at3193	Complete	ptg000012l	4559911	4554842	-	1440.1	939	https://www.orthodb.org/v10?query=4777at3193	trafficking protein particle complex subunit 11
4892at3193	Complete	ptg000019l	25609119	25623253	+	1457.9	892	https://www.orthodb.org/v10?query=4892at3193	E3 ubiquitin-protein ligase UPL7
5135at3193	Complete	ptg000006l	9881857	9915785	+	1530.8	1044	https://www.orthodb.org/v10?query=5135at3193	Zinc finger, PHD-type
5232at3193	Complete	ptg000004l	1151075	1156890	+	1819.6	1014	https://www.orthodb.org/v10?query=5232at3193	F-box protein
5261at3193	Complete	ptg000021l	2560548	2550453	-	1195.3	771	https://www.orthodb.org/v10?query=5261at3193	Nucleotidyltransferase family protein
5306at3193	Fragmented	ptg000017l	1	2346	+	339.1	273	https://www.orthodb.org/v10?query=5306at3193	Tetratricopeptide repeat
5602at3193	Complete	ptg000011l	2168218	2156033	-	1258.5	976	https://www.orthodb.org/v10?query=5602at3193	protein PRD1
5603at3193	Complete	ptg000030l	1880554	1886587	+	1526.1	865	https://www.orthodb.org/v10?query=5603at3193	protein CHROMATIN REMODELING 8
5727at3193	Complete	ptg000009l	1714397	1721841	+	1557.5	848	https://www.orthodb.org/v10?query=5727at3193	PPM-type phosphatase domain
5761at3193	Complete	ptg000005l	2648552	2635771	-	1234.2	831	https://www.orthodb.org/v10?query=5761at3193	Nrap protein
5793at3193	Complete	ptg000020l	15134006	15197441	+	1996.0	1371	https://www.orthodb.org/v10?query=5793at3193	tRNA/rRNA methyltransferase
5796at3193	Complete	ptg000006l	7249118	7236629	-	1786.8	899	https://www.orthodb.org/v10?query=5796at3193	MIF4G-like domain superfamily
5849at3193	Complete	ptg000008l	4198421	4262780	+	1524.7	999	https://www.orthodb.org/v10?query=5849at3193	Armadillo-type fold
5868at3193	Complete	ptg000028l	5747250	5740872	-	1100.8	823	https://www.orthodb.org/v10?query=5868at3193	transcriptional elongation regulator MINIYO
5921at3193	Complete	ptg000011l	17443790	17414377	-	1637.3	835	https://www.orthodb.org/v10?query=5921at3193	DNA mismatch repair protein
6095at3193	Complete	ptg000004l	18469661	18405266	-	906.9	666	https://www.orthodb.org/v10?query=6095at3193	Gamma-tubulin complex component
6114at3193	Complete	ptg000031l	15827	9763	-	1342.6	786	https://www.orthodb.org/v10?query=6114at3193	DExH-box ATP-dependent RNA helicase DExH15 chloroplastic
6319at3193	Complete	ptg000021l	1809049	1781488	-	1576.3	847	https://www.orthodb.org/v10?query=6319at3193	glycine--tRNA ligase, chloroplastic/mitochondrial 2 isoform X1
6412at3193	Complete	ptg000026l	2950661	2936751	-	1864.3	1059	https://www.orthodb.org/v10?query=6412at3193	DNA mismatch repair protein MSH6
6430at3193	Complete	ptg000022l	18226596	18245702	+	1122.1	728	https://www.orthodb.org/v10?query=6430at3193	protein timeless homolog isoform X1
6485at3193	Fragmented	ptg000026l	3186123	3196129	+	1078.5	692	https://www.orthodb.org/v10?query=6485at3193	nodal modulator 1
6707at3193	Fragmented	ptg000023l	16826160	16830041	+	1014.5	514	https://www.orthodb.org/v10?query=6707at3193	Ankyrin repeat-containing domain
6756at3193	Complete	ptg000014l	6791883	6761776	-	1452.5	799	https://www.orthodb.org/v10?query=6756at3193	Thioredoxin-like fold
7170at3193	Complete	ptg000009l	5370449	5398960	+	1592.4	857	https://www.orthodb.org/v10?query=7170at3193	protein CTR9 homolog
7277at3193	Complete	ptg000005l	17481676	17468702	-	1360.2	724	https://www.orthodb.org/v10?query=7277at3193	Zinc finger, CCHC-type
7476at3193	Complete	ptg000039l	1278873	1190662	-	1548.3	972	https://www.orthodb.org/v10?query=7476at3193	exportin-4 isoform X1
7510at3193	Complete	ptg000006l	1135051	1106581	-	1220.6	724	https://www.orthodb.org/v10?query=7510at3193	nuclear pore complex protein NUP107
7511at3193	Complete	ptg000026l	8975508	8966306	-	1220.0	735	https://www.orthodb.org/v10?query=7511at3193	F-box protein
7542at3193	Complete	ptg000011l	14264508	14257770	-	1890.3	1110	https://www.orthodb.org/v10?query=7542at3193	serine/threonine-protein kinase RUNKEL
7552at3193	Complete	ptg000001l	344441	336024	-	1628.1	800	https://www.orthodb.org/v10?query=7552at3193	116kDa U5 small nuclear ribonucleoprotein component, C-terminal
7852at3193	Complete	ptg000014l	9726560	9731080	+	1467.9	780	https://www.orthodb.org/v10?query=7852at3193	vacuolar protein-sorting-associated protein 11 homolog
7936at3193	Complete	ptg000001l	13668025	13656022	-	1347.0	827	https://www.orthodb.org/v10?query=7936at3193	Armadillo-type fold
7942at3193	Complete	ptg000011l	13276270	13291471	+	1703.9	876	https://www.orthodb.org/v10?query=7942at3193	isoleucine--tRNA ligase, chloroplastic/mitochondrial
7975at3193	Duplicated	ptg000024l	4264652	4233670	-	1570.3	860	https://www.orthodb.org/v10?query=7975at3193	transportin MOS14
7975at3193	Duplicated	ptg000007l	13054459	13024270	-	1552.1	860	https://www.orthodb.org/v10?query=7975at3193	transportin MOS14
8030at3193	Complete	ptg000019l	21434223	21445236	+	1420.6	748	https://www.orthodb.org/v10?query=8030at3193	4-alpha-glucanotransferase DPE2
8229at3193	Complete	ptg000005l	3294340	3331341	+	1264.8	805	https://www.orthodb.org/v10?query=8229at3193	Peroxisome biogenesis protein 1
8339at3193	Complete	ptg000019l	2864215	2936580	+	1281.3	732	https://www.orthodb.org/v10?query=8339at3193	Aminoacyl-tRNA synthetase, class Ia
8341at3193	Complete	ptg000016l	18591533	18575521	-	1621.3	854	https://www.orthodb.org/v10?query=8341at3193	suppressor of RPS4-RLD 1
8477at3193	Complete	ptg000005l	19054751	19046055	-	1217.6	796	https://www.orthodb.org/v10?query=8477at3193	WD40-repeat-containing domain
8566at3193	Complete	ptg000009l	7195353	7213664	+	1464.7	942	https://www.orthodb.org/v10?query=8566at3193	Alpha/beta fold hydrolase
8731at3193	Complete	ptg000007l	5169789	5179024	+	1075.6	804	https://www.orthodb.org/v10?query=8731at3193	Zinc finger, RING-type
8828at3193	Complete	ptg000026l	8588461	8549650	-	1525.3	828	https://www.orthodb.org/v10?query=8828at3193	Calcium-transporting ATPase
8939at3193	Complete	ptg000005l	7328416	7312080	-	1503.2	860	https://www.orthodb.org/v10?query=8939at3193	GHMP kinase, C-terminal domain
8953at3193	Complete	ptg000018l	1944052	1929234	-	1166.0	676	https://www.orthodb.org/v10?query=8953at3193	DNA repair protein UVH3 isoform X1
9250at3193	Complete	ptg000001l	12923590	12937330	+	1290.0	766	https://www.orthodb.org/v10?query=9250at3193	Gamma-tubulin complex component
9385at3193	Complete	ptg000011l	1488107	1515616	+	1649.3	1032	https://www.orthodb.org/v10?query=9385at3193	DNA repair protein RAD50
9443at3193	Complete	ptg000035l	279806	307072	+	2013.5	1042	https://www.orthodb.org/v10?query=9443at3193	Cullin-associated NEDD8-dissociated protein 1
9466at3193	Complete	ptg000028l	8884089	8842887	-	1418.7	860	https://www.orthodb.org/v10?query=9466at3193	importin-9
9508at3193	Complete	ptg000011l	13143506	13137040	-	1353.3	867	https://www.orthodb.org/v10?query=9508at3193	condensin-2 complex subunit D3
9727at3193	Complete	ptg000021l	496823	519494	+	1349.3	860	https://www.orthodb.org/v10?query=9727at3193	structural maintenance of chromosomes protein 5
9734at3193	Complete	ptg000006l	2764307	2776714	+	723.5	641	https://www.orthodb.org/v10?query=9734at3193	MMS19 nucleotide excision repair protein homolog isoform X1
9962at3193	Complete	ptg000019l	24286187	24330803	+	1476.6	727	https://www.orthodb.org/v10?query=9962at3193	Dexh-box atp-dependent rna helicase dexh1
10289at3193	Fragmented	ptg000009l	29318667	29328005	+	1055.2	608	https://www.orthodb.org/v10?query=10289at3193	DNA mismatch repair protein MSH3
10307at3193	Complete	ptg000019l	17569786	17575794	+	1163.0	717	https://www.orthodb.org/v10?query=10307at3193	tRNA wybutosine-synthesizing protein
10341at3193	Fragmented	ptg000019l	17824429	17815258	-	777.5	499	https://www.orthodb.org/v10?query=10341at3193	Abnormal spindle-like microcephaly-associated protein
10362at3193	Complete	ptg000009l	31902437	31899770	-	1188.7	692	https://www.orthodb.org/v10?query=10362at3193	pentatricopeptide repeat-containing protein At3g02330
10429at3193	Complete	ptg000029l	26029478	26047488	+	1504.5	800	https://www.orthodb.org/v10?query=10429at3193	DNA mismatch repair protein MSH2
10454at3193	Complete	ptg000004l	23812987	23809885	-	1464.2	820	https://www.orthodb.org/v10?query=10454at3193	elongation factor-like GTPase 1
10535at3193	Complete	ptg000001l	4766085	4769445	+	1282.1	870	https://www.orthodb.org/v10?query=10535at3193	pentatricopeptide repeat-containing protein At5g57250, mitochondrial
10651at3193	Complete	ptg000009l	19396399	19381701	-	1536.1	823	https://www.orthodb.org/v10?query=10651at3193	vacuolar protein sorting-associated protein 18 homolog
10797at3193	Complete	ptg000006l	6176327	6137382	-	1337.0	754	https://www.orthodb.org/v10?query=10797at3193	Alpha-1,6-glucosidases, pullulanase-type
10850at3193	Complete	ptg000029l	10085126	10025324	-	1079.6	982	https://www.orthodb.org/v10?query=10850at3193	CST complex subunit CTC1 isoform X1
10856at3193	Complete	ptg000020l	1474129	1464488	-	1191.6	649	https://www.orthodb.org/v10?query=10856at3193	1,4-alpha-glucan-branching enzyme 3, chloroplastic/amyloplastic
11121at3193	Complete	ptg000032l	3330027	3333919	+	1192.6	636	https://www.orthodb.org/v10?query=11121at3193	WD40-repeat-containing domain
11361at3193	Complete	ptg000004l	6371232	6410183	+	1068.7	739	https://www.orthodb.org/v10?query=11361at3193	N-alpha-acetyltransferase 25, NatB auxiliary subunit
11471at3193	Complete	ptg000022l	17143614	17118434	-	1180.9	693	https://www.orthodb.org/v10?query=11471at3193	ATP-dependent DNA helicase homolog RECG, chloroplastic isoform X1
11532at3193	Complete	ptg000011l	1207087	1160397	-	1420.0	746	https://www.orthodb.org/v10?query=11532at3193	DNA topoisomerase, type IIA, subunit A/C-terminal
11560at3193	Complete	ptg000033l	2179569	2171081	-	1352.9	829	https://www.orthodb.org/v10?query=11560at3193	Kinesin motor domain
11585at3193	Complete	ptg000013l	24758388	24761394	+	1356.0	748	https://www.orthodb.org/v10?query=11585at3193	protein QUIRKY
11903at3193	Complete	ptg000016l	5554348	5531739	-	1176.9	801	https://www.orthodb.org/v10?query=11903at3193	putative acyl-activating enzyme 19 isoform X1
12298at3193	Complete	ptg000001l	1411186	1428966	+	1273.0	707	https://www.orthodb.org/v10?query=12298at3193	WD40-repeat-containing domain
12299at3193	Complete	ptg000011l	8386557	8389443	+	1434.0	794	https://www.orthodb.org/v10?query=12299at3193	pentatricopeptide repeat-containing protein At1g06710, mitochondrial
12350at3193	Duplicated	ptg000021l	6835194	6943092	+	1459.5	734	https://www.orthodb.org/v10?query=12350at3193	Alpha-1,4 glucan phosphorylase
12350at3193	Duplicated	ptg000004l	7695545	7702718	+	1458.7	734	https://www.orthodb.org/v10?query=12350at3193	Alpha-1,4 glucan phosphorylase
12643at3193	Complete	ptg000034l	1331090	1350842	+	1271.4	725	https://www.orthodb.org/v10?query=12643at3193	D-alanine--D-alanine ligase
12744at3193	Missing
12893at3193	Complete	ptg000019l	17239004	17273919	+	1415.9	739	https://www.orthodb.org/v10?query=12893at3193	Aminoacyl-tRNA synthetase, class Ia
12903at3193	Complete	ptg000009l	30623214	30611134	-	1483.6	828	https://www.orthodb.org/v10?query=12903at3193	probable ubiquitin conjugation factor E4
12990at3193	Complete	ptg000022l	13634824	13630033	-	1155.9	747	https://www.orthodb.org/v10?query=12990at3193	Pentatricopeptide repeat
13044at3193	Complete	ptg000032l	4864732	4823719	-	1275.1	684	https://www.orthodb.org/v10?query=13044at3193	aminodeoxychorismate synthase, chloroplastic
13120at3193	Complete	ptg000012l	23031067	23037338	+	1451.9	741	https://www.orthodb.org/v10?query=13120at3193	DNA helicase
13163at3193	Complete	ptg000022l	16354478	16363051	+	1112.6	652	https://www.orthodb.org/v10?query=13163at3193	WD40-repeat-containing domain
13313at3193	Complete	ptg000006l	3991872	3983646	-	1140.7	660	https://www.orthodb.org/v10?query=13313at3193	pentatricopeptide repeat-containing protein At1g15510, chloroplastic
13359at3193	Complete	ptg000006l	9041402	9045738	+	1003.9	631	https://www.orthodb.org/v10?query=13359at3193	Zinc finger, NF-X1-type
13414at3193	Complete	ptg000026l	9440379	9423205	-	1321.9	740	https://www.orthodb.org/v10?query=13414at3193	DNA helicase
13438at3193	Duplicated	ptg000009l	32287756	32271166	-	704.4	479	https://www.orthodb.org/v10?query=13438at3193	Zinc finger, RanBP2-type
13438at3193	Duplicated	ptg000018l	4113252	4100063	-	691.9	472	https://www.orthodb.org/v10?query=13438at3193	Zinc finger, RanBP2-type
13495at3193	Complete	ptg000009l	30529581	30534904	+	1184.1	628	https://www.orthodb.org/v10?query=13495at3193	conserved oligomeric Golgi complex subunit 7
13740at3193	Complete	ptg000022l	14295907	14290037	-	1346.2	807	https://www.orthodb.org/v10?query=13740at3193	DIS3-like exonuclease 2
13964at3193	Complete	ptg000029l	30545677	30543103	-	1240.2	667	https://www.orthodb.org/v10?query=13964at3193	pentatricopeptide repeat-containing protein At5g16860
13979at3193	Complete	ptg000026l	14429930	14457991	+	1199.0	678	https://www.orthodb.org/v10?query=13979at3193	UTP--glucose-1-phosphate uridylyltransferase
13985at3193	Duplicated	ptg000018l	7469610	7474771	+	1422.6	747	https://www.orthodb.org/v10?query=13985at3193	probable glucan 1,3-alpha-glucosidase
13985at3193	Duplicated	ptg000009l	27752641	27746593	-	1401.1	746	https://www.orthodb.org/v10?query=13985at3193	probable glucan 1,3-alpha-glucosidase
14027at3193	Complete	ptg000023l	337163	307771	-	1080.5	663	https://www.orthodb.org/v10?query=14027at3193	Vacuolar sorting protein 39/Transforming growth factor beta receptor-associated domain 1
14087at3193	Complete	ptg000019l	3177115	3062014	-	1329.6	686	https://www.orthodb.org/v10?query=14087at3193	probable polyribonucleotide nucleotidyltransferase 1, chloroplastic
14127at3193	Complete	ptg000033l	3189076	3175957	-	860.9	534	https://www.orthodb.org/v10?query=14127at3193	pentatricopeptide repeat-containing protein At5g02830, chloroplastic
14136at3193	Complete	ptg000028l	6094651	6087500	-	1507.7	797	https://www.orthodb.org/v10?query=14136at3193	Probable alanine--tRNA ligase, chloroplastic
14163at3193	Complete	ptg000004l	16920376	16928364	+	1360.5	884	https://www.orthodb.org/v10?query=14163at3193	Smg8/Smg9
14585at3193	Fragmented	ptg000026l	3690153	3700374	+	948.1	726	https://www.orthodb.org/v10?query=14585at3193	WD40-repeat-containing domain
15047at3193	Complete	ptg000006l	6816647	6807930	-	1203.3	729	https://www.orthodb.org/v10?query=15047at3193	endoplasmic reticulum metallopeptidase 1
15187at3193	Duplicated	ptg000028l	8311698	8320679	+	1255.9	680	https://www.orthodb.org/v10?query=15187at3193	Urease
15187at3193	Duplicated	ptg000028l	8341554	8350530	+	1230.1	680	https://www.orthodb.org/v10?query=15187at3193	Urease
15195at3193	Complete	ptg000019l	25876711	25868952	-	1391.6	773	https://www.orthodb.org/v10?query=15195at3193	WD40 repeat
15224at3193	Complete	ptg000028l	7238655	7236153	-	1093.7	680	https://www.orthodb.org/v10?query=15224at3193	putative pentatricopeptide repeat-containing protein At5g13230, mitochondrial
15229at3193	Complete	ptg000030l	3716919	3714369	-	1178.0	688	https://www.orthodb.org/v10?query=15229at3193	pentatricopeptide repeat-containing protein At4g21300
15289at3193	Complete	ptg000022l	17166376	17186181	+	1233.3	675	https://www.orthodb.org/v10?query=15289at3193	P-loop containing nucleoside triphosphate hydrolase
15318at3193	Complete	ptg000009l	9582046	9585297	+	883.3	559	https://www.orthodb.org/v10?query=15318at3193	Sec1-like protein
15405at3193	Complete	ptg000020l	18357794	18379150	+	1230.5	661	https://www.orthodb.org/v10?query=15405at3193	DNA mismatch repair protein MSH4
15419at3193	Duplicated	ptg000019l	23071228	23076915	+	995.6	590	https://www.orthodb.org/v10?query=15419at3193	EGF-like, conserved site
15419at3193	Duplicated	ptg000037l	1736003	1741879	+	989.7	590	https://www.orthodb.org/v10?query=15419at3193	EGF-like, conserved site
15522at3193	Complete	ptg000004l	24781625	24808715	+	1158.4	660	https://www.orthodb.org/v10?query=15522at3193	nuclear cap-binding protein subunit 1
15843at3193	Complete	ptg000001l	18066158	18057261	-	1131.4	711	https://www.orthodb.org/v10?query=15843at3193	BRCT domain
15862at3193	Complete	ptg000004l	450309	461686	+	975.9	778	https://www.orthodb.org/v10?query=15862at3193	telomerase reverse transcriptase
15951at3193	Complete	ptg000012l	22945658	22939025	-	1554.9	910	https://www.orthodb.org/v10?query=15951at3193	No exine formation 1
16160at3193	Complete	ptg000013l	24728350	24752658	+	1020.9	641	https://www.orthodb.org/v10?query=16160at3193	WHIM2 domain
