The task: 【mappingdata】 starts at Fri Jun 21 10:52:03 CST 2024
[01;35m#######Data#######[0m
Genome: 03.hic/03.hic_afterjuicebox/output/SHJ/03.hic/HiC.review.assembly.chr.fa
NGS_Data: kehu/02.ngs/NGS-1r_1.fq.gz, kehu/02.ngs/NGS-1r_2.fq.gz
Data_Type: ngs
WorkDir: 03.hic/03.hic_afterjuicebox/02.other_work/01.mapping_ngs/tmp_of_mapping
Output: 03.hic/03.hic_afterjuicebox/02.other_work/01.mapping_ngs/output_of_mapping

[01;35m#######Run#######[0m
0. start mapping...
1. mapping finish.
2. samtools flagstat...
3. get gc-depth...
3.1. samtools index...
3.2. pandepth...
4. plot gc-depth distribution
5. plot each-depath distribution
[01;35m#######Result#######[0m
Total Mapping:
Data_Type  Mapping_Rate(%)  Paired_Mapping_Rate  Average_Depth(X)  Coverage(%)
ngs        99.79            95.64                141.70            99.00
Each Mapping:
#Chr         Length     CoveredSite  TotalDepth   GC(%)  Coverage(%)  MeanDepth
Scaffold67   45129      770          1532         61.88  1.71         0.03
Scaffold68   44773      44635        70502924     38.26  99.69        1574.68
Scaffold69   44464      44386        74831538     40.23  99.82        1682.97
Scaffold70   44251      44251        59960188     40.72  100.00       1355.00
Scaffold71   43407      43407        62646613     38.45  100.00       1443.24
Scaffold72   43406      43406        66490497     38.60  100.00       1531.83
Scaffold73   43164      43164        65952154     40.37  100.00       1527.94
Scaffold74   43112      43110        58375076     37.76  100.00       1354.03
Scaffold75   42654      42654        69481269     38.54  100.00       1628.95
Scaffold76   42562      42548        64836700     39.20  99.97        1523.35
Scaffold77   42344      42337        61454276     37.60  99.98        1451.31
Scaffold78   41742      41710        63425567     39.75  99.92        1519.47
Scaffold79   41643      41643        61189765     40.87  100.00       1469.39
Scaffold80   40722      40722        63654598     40.69  100.00       1563.15
Scaffold81   40612      40609        52044585     39.64  99.99        1281.51
Scaffold82   40323      40323        55120480     37.90  100.00       1366.97
Scaffold83   39843      39824        55940262     37.58  99.95        1404.02
Scaffold84   39702      39701        58882541     40.91  100.00       1483.11
Scaffold85   39510      39510        55472267     37.65  100.00       1404.01
Scaffold86   38782      38756        58031737     40.07  99.93        1496.36
Scaffold87   38657      38657        52416963     37.81  100.00       1355.95
Scaffold88   38528      38285        48550607     37.83  99.37        1260.14
Scaffold89   38085      38085        52782568     40.64  100.00       1385.91
Scaffold90   37884      37870        54613452     39.48  99.96        1441.60
Scaffold91   37438      37438        56740315     38.78  100.00       1515.58
Scaffold92   37172      37172        54992897     37.53  100.00       1479.42
Scaffold93   37101      37089        54437613     37.74  99.97        1467.28
Scaffold94   36980      36980        50731154     40.67  100.00       1371.85
Scaffold95   36720      35428        22966137     45.92  96.48        625.44
Scaffold96   36692      36692        54969678     39.76  100.00       1498.14
Scaffold97   36474      35835        26195919     46.56  98.25        718.21
Scaffold98   36452      36452        46752728     37.65  100.00       1282.58
Scaffold99   36212      36212        48579539     37.64  100.00       1341.53
Scaffold100  36177      3846         10561        34.13  10.63        0.29
Scaffold101  35837      35837        54176772     39.75  100.00       1511.76
Scaffold102  35818      35806        52159018     40.40  99.97        1456.22
Scaffold103  35330      35330        52507176     38.45  100.00       1486.19
Scaffold104  35239      35239        54144722     40.25  100.00       1536.50
Scaffold105  35195      35186        53236860     39.90  99.97        1512.63
Scaffold106  35133      35133        51645246     37.47  100.00       1469.99
Scaffold107  35113      34706        22654068     45.83  98.84        645.18
Scaffold108  34602      34602        53079426     40.21  100.00       1534.00
Scaffold109  34389      33629        6543140      62.62  97.79        190.27
Scaffold110  34322      34322        49336534     37.93  100.00       1437.46
Scaffold111  34070      33479        31093150     47.01  98.27        912.63
Scaffold112  34037      32755        46356588     47.92  96.23        1361.95
Scaffold113  33806      33806        54066968     39.54  100.00       1599.33
Scaffold114  33051      32908        49055381     40.88  99.57        1484.23
Scaffold115  32755      16584        55620        27.53  50.63        1.70
Scaffold116  32568      32151        21019003     45.75  98.72        645.39
Scaffold117  32414      32414        51045285     40.37  100.00       1574.79
Scaffold118  32184      4044         9062         45.59  12.57        0.28
Scaffold119  32058      32058        48628950     38.99  100.00       1516.91
Scaffold120  31495      31495        44440736     38.30  100.00       1411.04
Scaffold121  31081      31081        48907002     38.24  100.00       1573.53
Scaffold122  30957      30864        43958554     37.71  99.70        1419.99
Scaffold123  30695      30695        42596236     37.51  100.00       1387.73
Scaffold124  29391      29391        37561589     37.70  100.00       1278.00
Scaffold125  28528      28526        42502879     40.44  99.99        1489.87
Scaffold126  27614      27614        38034539     37.67  100.00       1377.36
Scaffold127  27180      27147        42410392     47.21  99.88        1560.35
Scaffold128  25650      25650        37583789     41.91  100.00       1465.25
Scaffold129  25387      24859        38543627     46.65  97.92        1518.24
Scaffold130  25023      25023        39943101     39.67  100.00       1596.26
Scaffold131  19034      17458        9472159      45.71  91.72        497.64
Scaffold132  18192      18192        14524454     45.70  100.00       798.40
Scaffold133  18061      17399        13249428     45.77  96.33        733.59
Scaffold134  17179      15895        8580349      46.09  92.53        499.47
Scaffold135  181985     181670       36342858     63.69  99.83        199.70
Scaffold136  119979     119332       22926903     63.41  99.46        191.09
Scaffold137  120772     115811       120953800    46.31  95.89        1001.51
Scaffold138  147147     146846       208419449    39.13  99.80        1416.40
Scaffold139  59719      59719        87407567     39.16  100.00       1463.65
Scaffold140  261056     256487       46293824     63.54  98.25        177.33
Scaffold141  82022      81350        2591548      43.56  99.18        31.60
Scaffold142  34473      34471        43685057     37.80  99.99        1267.23
Scaffold143  34384      7495         25427        28.26  21.80        0.74
Scaffold144  32623      18641        49618        24.80  57.14        1.52
Scaffold145  31764      30649        5637989      63.50  96.49        177.50
Scaffold146  42275      42251        59481712     40.02  99.94        1407.02
Scaffold147  51276      51219        70812225     38.43  99.89        1381.00
Scaffold148  23189      23077        1537135      40.55  99.52        66.29
Scaffold149  24463      10404        53341        22.14  42.53        2.18
Scaffold150  46015      1861         2253         34.43  4.04         0.05
Scaffold151  43340      1674         4279         35.88  3.86         0.10
Scaffold152  40234      2032         4651         36.91  5.05         0.12
Scaffold153  64650      2386         3179         34.91  3.69         0.05
Scaffold154  38732      1425         1721         35.83  3.68         0.04
Scaffold155  49883      988          1185         38.15  1.98         0.02
Scaffold156  33457      1205         2491         36.20  3.60         0.07
Scaffold157  187544     185951       13188050     41.91  99.15        70.32
Scaffold158  27414333   27196531     3424574157   39.50  99.21        124.92
Scaffold159  251453     247024       26185668     37.55  98.24        104.14
Scaffold160  5000       4766         178096       38.10  95.32        35.62
Scaffold161  275339     272380       21474184     38.59  98.93        77.99
Scaffold162  401205     382081       48886287     36.65  95.23        121.85
Scaffold163  6734924    6166876      453611285    41.53  91.57        67.35
Scaffold164  51875      51079        52792065     47.06  98.47        1017.68
Scaffold165  55797      53162        72187112     46.84  95.28        1293.75
Scaffold166  156658     148240       266323311    46.52  94.63        1700.03
Scaffold167  204581     189044       369327919    46.79  92.41        1805.29
Scaffold168  151101     146432       457592671    46.88  96.91        3028.39
Scaffold169  200069     193715       658826600    46.86  96.82        3293.00
Scaffold170  35665      35035        96173483     47.99  98.23        2696.58
Scaffold171  135127     130303       349076066    46.79  96.43        2583.32
Scaffold172  177966     171471       332015665    46.72  96.35        1865.61
Scaffold173  89520      85806        119960127    46.21  95.85        1340.04
Scaffold174  465168     454399       38604710     39.43  97.68        82.99
Scaffold175  89524      89428        9715935      40.27  99.89        108.53
Scaffold176  116137     115525       11582660     41.65  99.47        99.73
Scaffold177  29261      29158        1761884      37.93  99.65        60.21
Scaffold178  13723266   12907716     1168958029   41.19  94.06        85.18
Scaffold179  243945     243173       18198816     39.60  99.68        74.60
Scaffold180  5000       4982         362366       38.98  99.64        72.47
Scaffold181  4995913    4424183      352868635    39.48  88.56        70.63
Scaffold182  2132047    2095515      219277541    40.15  98.29        102.85
plot file: output_of_mapping/{GC_Depth.png,depth.density.png}
.
├── depth.density.svg(pdf/png)  染色体深度总览图
├── each_depth
│   └── *.density.svg(pdf/png)  每条序列的深度图
├── each_depth.check.png        深度图总图（长图）
├── GC_Depth.svg((pdf/png)      GC-Depth图
├── mapping_stat.xls	        Mapping评估结果
├── *_bin*.stat.xls             Binsize大小内的统计情况 
├── *_each.stat.xls             每条序列的统计情况
└── readme.txt
The task: 【mappingdata】 ends at Fri Jun 21 17:06:40 CST 2024
