Query        Ref    MapLen   QueryLen    Rate(%)
Scaffold383  chr4   3,084    25,000      12.34
Scaffold198  chr1   40,758   338,728     12.03
Scaffold369  chr7   563,534  4,757,160   11.85
Scaffold443  chr1   275,293  2,408,153   11.43
Scaffold249  chr11  27,398   241,107     11.36
Scaffold126  chr1   10,591   93,604      11.31
Scaffold442  chr1   255,376  2,258,850   11.31
Scaffold183  chr2   19,409   172,037     11.28
Scaffold439  chr1   351,612  3,137,702   11.21
Scaffold341  chr17  4,134    37,367      11.06
Scaffold127  chr6   6,774    63,813      10.62
Scaffold432  chr3   303,685  2,890,821   10.51
Scaffold392  chr12  236,037  2,300,477   10.26
Scaffold428  chr3   465,939  4,540,632   10.26
Scaffold398  chr12  235,334  2,383,933   9.87
Scaffold170  chr10  4,423    44,858      9.86
Scaffold423  chr13  141,128  1,502,697   9.39
Scaffold123  chr1   33,836   360,759     9.38
Scaffold379  chr16  313,079  3,504,353   8.93
Scaffold125  chr16  9,684    109,007     8.88
Scaffold382  chr16  204,701  2,381,653   8.59
Scaffold411  chr15  402,327  4,813,431   8.36
Scaffold101  chr12  4,345    52,308      8.31
Scaffold410  chr15  208,570  2,617,852   7.97
Scaffold445  chr1   139,223  1,782,455   7.81
Scaffold376  chr10  100,960  1,324,166   7.62
Scaffold370  chr4   55,900   735,073     7.60
Scaffold396  chr9   201,641  2,705,334   7.45
Scaffold373  chr18  146,768  2,023,327   7.25
Scaffold390  chr9   369,610  5,168,693   7.15
Scaffold375  chr2   702      10,000      7.02
Scaffold130  chr1   47,731   701,283     6.81
Scaffold435  chr1   376,785  5,739,877   6.56
Scaffold437  chr1   303,043  4,632,196   6.54
Scaffold178  chr2   4,327    71,238      6.07
Scaffold453  chr17  101,040  1,686,460   5.99
Scaffold378  chr16  255,514  4,293,864   5.95
Scaffold159  chr4   2,576    45,575      5.65
Scaffold371  chr7   518,997  9,267,882   5.60
Scaffold404  chr11  265,061  5,265,790   5.03
Scaffold384  chr4   430,934  8,583,610   5.02
Scaffold367  chr10  833,804  18,042,369  4.62
Scaffold102  chr3   3,337    75,228      4.44
Scaffold415  chr6   553,740  13,149,223  4.21
Scaffold385  chr4   297,251  7,266,324   4.09
Scaffold426  chr13  172,764  4,232,731   4.08
Scaffold399  chr12  345,928  8,510,713   4.06
Scaffold374  chr18  90,043   2,226,221   4.04
Scaffold414  chr6   476,110  13,523,913  3.52
Scaffold416  chr6   410,984  11,764,568  3.49
Scaffold388  chr4   457,023  13,456,827  3.40
Scaffold444  chr1   174,339  6,229,412   2.80
Scaffold397  chr1   29,169   1,233,007   2.37
Scaffold366  chr10  319,186  15,008,208  2.13
Scaffold446  chr1   66,743   3,514,294   1.90
Scaffold452  chr4   42,490   2,563,826   1.66
Scaffold140  chr10  1,231    103,377     1.19
